2025-10-17T22:05:54.000000000Z [inf]  Starting Container
2025-10-17T22:05:55.551409210Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-10-17T22:05:55.551418620Z [inf]  Using 'pg' driver for database querying
2025-10-17T22:05:55.551431464Z [inf]  [⣷] Pulling schema from database...
2025-10-17T22:05:55.551440043Z [err]  npm warn config production Use `--omit=dev` instead.
2025-10-17T22:05:55.551445898Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-10-17T22:05:55.572834136Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-17T22:05:55.697200623Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-17T22:05:55.821793770Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-17T22:05:55.950663652Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-17T22:05:56.080956263Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-10-17T22:05:56.211223046Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-10-17T22:05:56.648132908Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-10-17T22:05:56.648139340Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-17T22:05:56.648145947Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-10-17T22:05:56.648151247Z [inf]  [i] No changes detected
2025-10-17T22:05:56.726002892Z [err]  npm warn config production Use `--omit=dev` instead.
2025-10-17T22:05:56.749909161Z [inf]  
2025-10-17T22:05:56.749917373Z [inf]  > rest-express@1.0.0 start
2025-10-17T22:05:56.749923955Z [inf]  > NODE_ENV=production node dist/index.js
2025-10-17T22:05:56.749929875Z [inf]  
2025-10-17T22:05:58.009729344Z [err]  ⚠️ REPLIT_DOMAINS not set. Setting default domain for deployment.
2025-10-17T22:05:58.016189382Z [inf]  🚨 DEPLOYMENT DEBUG: server/index.ts file loaded and executing - Railway Auth Fix Deploy
2025-10-17T22:05:58.016207041Z [inf]  🚨 DEPLOYMENT DEBUG: Current timestamp: 2025-10-17T22:05:58.012Z
2025-10-17T22:05:58.017088223Z [inf]  🚨 DEPLOYMENT DEBUG: Process environment: { nodeEnv: 'production', port: '8080', hasDatabase: true }
2025-10-17T22:05:58.017096614Z [inf]  📁 SERVER FILE EXECUTING: server/index.ts loaded successfully
2025-10-17T22:05:58.017103763Z [inf]  🔧 Process ID: 53
2025-10-17T22:05:58.017110789Z [inf]  🔧 Node.js version: v22.11.0
2025-10-17T22:05:58.017119505Z [inf]  🔧 Platform: linux
2025-10-17T22:05:58.017128076Z [inf]  🔧 Architecture: x64
2025-10-17T22:05:58.017135934Z [inf]  🔧 Memory usage: {
2025-10-17T22:05:58.017144506Z [inf]    "rss": 179892224,
2025-10-17T22:05:58.017176539Z [inf]    "heapTotal": 95748096,
2025-10-17T22:05:58.017185613Z [inf]    "heapUsed": 66360400,
2025-10-17T22:05:58.017194184Z [inf]    "external": 4204721,
2025-10-17T22:05:58.017204224Z [inf]    "arrayBuffers": 532394
2025-10-17T22:05:58.017237042Z [inf]  }
2025-10-17T22:05:58.020470189Z [inf]  🚨 DEPLOYMENT DEBUG: About to call startServer function
2025-10-17T22:05:58.020477978Z [inf]  🚨 DEPLOYMENT DEBUG: Pre-execution timestamp: 2025-10-17T22:05:58.017Z
2025-10-17T22:05:58.022332460Z [inf]  🚨 DEPLOYMENT DEBUG: Starting server initialization function
2025-10-17T22:05:58.022340484Z [inf]  🚨 DEPLOYMENT DEBUG: Function entry timestamp: 2025-10-17T22:05:58.017Z
2025-10-17T22:05:58.022348975Z [inf]  🚀 Starting LoadTracker Pro server...
2025-10-17T22:05:58.022353984Z [inf]  📊 STARTUP TRACE: Entering main server initialization function
2025-10-17T22:05:58.022358422Z [inf]  📊 STARTUP TRACE: Beginning try block for server startup
2025-10-17T22:05:58.022363152Z [inf]  🚨 DEPLOYMENT DEBUG: Inside try block - server startup beginning
2025-10-17T22:05:58.022367482Z [inf]  🔧 Validating environment configuration...
2025-10-17T22:05:58.022371868Z [inf]  🚨 DEPLOYMENT DEBUG: Validating PORT environment variable
2025-10-17T22:05:58.022376085Z [inf]  🚨 DEPLOYMENT DEBUG: Raw PORT value: 8080
2025-10-17T22:05:58.022381687Z [inf]  🚨 DEPLOYMENT DEBUG: PORT type: string
2025-10-17T22:05:58.022386355Z [inf]  🚨 DEPLOYMENT DEBUG: Parsed PORT value: 8080
2025-10-17T22:05:58.022391510Z [inf]  ✅ DEPLOYMENT DEBUG: PORT validation successful: 8080
2025-10-17T22:05:58.022434213Z [inf]  ✅ Database URL configured
2025-10-17T22:05:58.022439202Z [inf]  ✅ Object storage environment variables configured (Google Cloud Storage)
2025-10-17T22:05:58.022444115Z [inf]  ✅ SMS service (Telnyx) configured
2025-10-17T22:05:58.022448461Z [inf]  ✅ Session authentication configured
2025-10-17T22:05:58.022453150Z [inf]  🔧 Configuration validated: PORT=8080, HOST=0.0.0.0
2025-10-17T22:05:58.022458342Z [inf]  🔧 Environment: NODE_ENV=production
2025-10-17T22:05:58.022462786Z [inf]  🔧 Testing database connection...
2025-10-17T22:05:58.042083849Z [err]  (node:53) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-10-17T22:05:58.042088973Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-10-17T22:05:58.207537510Z [inf]  ✅ Database connection successful
2025-10-17T22:05:58.207543233Z [inf]  📝 Registering application routes...
2025-10-17T22:05:58.757182266Z [inf]  ✅ Routes registered successfully
2025-10-17T22:05:58.757187594Z [inf]  📁 Setting up static file serving for production...
2025-10-17T22:05:58.757193383Z [inf]  🔍 DEBUG: Resolved static path: /app/dist/public
